stations,latitude,longitude
aberdeen,24.06098,-32.47634
acornhoek,31.04835,-24.59710
actonville,28.29975,-26.21198
addo,25.69029,-33.54769
adelaide,26.29255,-32.70725
afsondering,28.96145,-30.16502
aggeneys,18.84713,-29.24206
akasia,28.09538,-25.62571
albertinia,21.58325,-34.20860
alberton,28.12692,-26.26088
alexander bay,16.49218,-28.60706
alexandra,28.10089,-26.10548
alexandra road,30.38773,-29.61901
alexandria,26.41200,-33.65057
algoapark,25.57071,-33.90246
alice,26.83583,-32.79033
alicedale,26.08514,-33.31668
aliwal north,26.71103,-30.68748
allanridge,26.64818,-27.75013
alldays,29.10417,-22.68226
amalia,25.05068,-27.24996
amangwe,29.61758,-28.94127
amanzimtoti,30.88011,-30.05182
amersfoort,29.87218,-27.00869
amsterdam,30.66041,-26.62306
apel,29.78591,-24.42233
arlington,27.85058,-28.02889
ashton,20.06699,-33.83361
assen,27.60201,-25.16766
atamelang,25.37052,-26.50534
athlone,18.50724,-33.96157
atlantis,18.49318,-33.56479
atteridgeville,28.07173,-25.77462
augrabies,20.42250,-28.66908
avondale,28.40448,-30.29751
babanango,31.08263,-28.37593
badplaas,30.56857,-25.95836
bainsvlei,26.12837,-29.06613
balfour,26.67652,-32.53628
balfour tvl,28.58695,-26.66282
bandelierkop,29.79739,-23.32103
barberton,31.05178,-25.79074
barkly east,27.59774,-30.96913
barkly west,24.52533,-28.53715
barrydale,20.72117,-33.90276
batho,26.22531,-29.13468
bathurst,26.83917,-33.50484
batlharos,23.34164,-27.30544
baviaanskloof,23.98058,-33.53938
bayswater,26.23033,-29.08896
bayview,30.91170,-29.92278
beacon bay,27.93836,-32.96884
beaufort west,22.58486,-32.34946
bedford,26.08275,-32.68363
bedfordview,28.13719,-26.17960
bedwang,27.96893,-25.08700
bekkersdal,27.69873,-26.28711
bela-bela,28.29453,-24.87751
belfast,30.04588,-25.70144
belhar,18.64877,-33.94692
bell,27.35953,-33.24744
bellair,30.94137,-29.88968
bellville,18.62210,-33.90206
bellville south,18.64655,-33.91541
belmont,24.36647,-29.41678
benoni,28.31337,-26.19655
berea,31.00409,-29.84813
bergville,29.35523,-28.73144
berlin,27.57320,-32.87859
besters,29.64116,-28.43673
bethal,29.46955,-26.46098
bethanie,27.60139,-25.55175
bethelsdorp,25.51261,-33.87062
bethlehem,28.30889,-28.23108
bethulie,25.97663,-30.49887
bhekithemba,30.86016,-29.97721
bhisho,27.44085,-32.85029
bholo,27.62214,-32.38815
Bholothwa,27.1992,-31.9862
biesiesvlei,25.90384,-26.37833
bishop lavis,18.57224,-33.94634
bishopstowe,30.47682,-29.58422
bityi,28.53375,-31.80929
blinkpan,29.45108,-26.09934
bloemhof,25.60685,-27.65256
bloemspruit,26.27852,-29.13950
bluewater,27.95053,-32.72743
boetsap,24.45268,-27.97610
bohlokong,28.32014,-28.19320
boipatong,27.84344,-26.66959
boitekong,27.29704,-25.60465
boithuso,26.67399,-29.25967
boksburg,28.23787,-26.22025
boksburg north,28.25302,-26.20600
bolobedu,30.22274,-23.64412
bonnievale,20.09825,-33.93905
boons,27.23671,-25.96687
booysens,28.02202,-26.23361
boschkop,28.40709,-25.81666
boshoek,24.28325,-25.72593
boshof,25.23967,-28.54034
boston,30.04722,-29.68509
bothasig,18.54346,-33.85506
bothaville,26.61423,-27.38891
bothithong,23.82805,-27.06500
botlokwa,29.73967,-23.49214
botshabelo,26.71606,-29.23620
brackendowns,28.09636,-26.34619
brackenfell,18.68164,-33.87196
brakpan,28.36257,-26.23481
bramley,28.08413,-26.12079
brandfort,26.45913,-28.70310
brandvlei,20.48970,-30.46407
bray,23.71570,-25.45771
bredasdorp,20.04727,-34.53644
breyten,29.98664,-26.30226
bridge camp,27.35880,-32.02197
brighton beach,31.00619,-29.93649
brits,27.77918,-25.63515
britstown,23.49960,-30.59218
brixton,27.99355,-26.19278
bronkhorstspruit,28.74566,-25.80898
bronville,26.81762,-27.99683
brooklyn,28.23770,-25.75560
buffalo flats,27.86027,-33.02401
buffelshoek,27.39991,-26.80295
bulgerivier,27.69389,-24.12651
bultfontein,26.15286,-28.29346
bulwer,29.76945,-29.81180
burgersdorp,26.33273,-30.99708
burgersfort,30.32999,-24.67925
bushbuckridge,31.06821,-24.84230
butterworth,28.14217,-32.32920
cala,27.69644,-31.52416
calcutta,31.24385,-24.98705
caledon,19.42919,-34.23493
calitzdorp,21.68666,-33.53339
calvinia,19.77337,-31.47331
cambridge,27.89812,-32.97932
campbell,23.71662,-28.80320
camperdown,30.54127,-29.72907
camps bay,18.37672,-33.95604
cape town central,18.42310,-33.92774
carletonville,27.39859,-26.35839
carnarvon,22.12590,-30.96943
carolina,30.11998,-26.07128
cathcart,27.14110,-32.29579
cato manor,30.96800,-29.86012
cedarville,29.04574,-30.39106
centane,28.32020,-32.51021
ceres,19.31159,-33.36941
ceza,31.37832,-27.99503
chalumna,27.53995,-33.13694
charl cilliers,29.18750,-26.65976
charlestown,29.87355,-27.41557
chatsworth,30.88538,-29.91231
chrissiesmeer,30.21357,-26.28052
christiana,25.16738,-27.90918
chungwa,27.15612,-32.83898
citrusdal,19.01101,-32.58829
clanwilliam,18.89226,-32.17615
claremont,18.47286,-33.98442
clarens,28.41983,-28.51540
cleveland,28.11556,-26.20398
clocolan,27.56798,-28.91602
cloetesville,18.85526,-33.92257
coffee bay,29.14881,-31.97848
cofimvaba,27.58411,-32.00375
colenso,29.82205,-28.73492
colesberg,25.09446,-30.71970
coligny,26.31738,-26.33070
committees,26.83654,-33.16014
conville,22.47327,-33.98272
cookhouse,25.80050,-32.75007
cornelia,28.85422,-27.23861
cradock,25.62571,-32.17560
cramond,30.42808,-29.41448
creighton,29.84284,-30.02955
crystalpark,28.37297,-26.12412
cullinan,28.52028,-25.67528
cumberland,26.91968,-23.97600
cyferskuil,28.24066,-25.07640
da gamaskop,22.11733,-34.17631
daggakraal,29.93297,-27.11057
dalasile,28.19333,-31.62187
dalton,30.63626,-29.34421
danielskuil,23.54306,-28.18239
dannhauser,30.05658,-28.01441
darling,18.38199,-33.37637
davel,29.66766,-26.44790
daveyton,28.41560,-26.15328
dawn park,28.24770,-26.31500
de aar,24.00504,-30.66060
de deur,27.91079,-26.51511
de doorns,19.66581,-33.47424
de rust,22.53451,-33.48874
dealesville,25.76379,-28.67602
deben,22.88325,-27.59820
delareyville,25.45670,-26.69094
delft,18.64209,-33.97502
delmas,28.68756,-26.14512
delportshoop,24.31019,-28.41605
deneysville,28.09493,-26.88716
dennilton,29.14743,-25.25865
despatch,25.47264,-33.80317
devon,28.78603,-26.35630
dewetsdorp,26.66246,-29.58358
dientjie,30.80467,-24.61384
diepkloof,27.94192,-26.23883
dieprivier,18.46485,-34.03161
diepsloot,28.02203,-25.92322
dimbaza,27.20597,-32.83365
dingleton,22.98298,-27.78413
dirkiesdorp,30.40569,-27.17452
dobsonville,27.87040,-26.21550
donnybrook,29.87938,-29.92982
dordrecht,27.04719,-31.37940
doring bay,18.23678,-31.81174
doringkloof,26.51463,-32.45969
dorset,28.16096,-24.06064
douglas,23.77278,-29.05651
douglasdale,27.99070,-26.02630
driekop,30.11063,-24.59868
dube,28.02384,-25.40502
dududu,30.61743,-30.19282
duduza,28.41770,-26.37540
dullstroom,30.10594,-25.41676
duncan village,27.88872,-33.00505
dundee,30.23368,-28.16235
dunnottar,28.43880,-26.35129
durban central,31.02748,-29.84229
durban north,31.04827,-29.77732
durbanville,18.64929,-33.83389
dutywa,28.29041,32.09345
dwaalboom,26.80808,-24.72708
dysselsdorp,22.43460,-33.57618
east london,27.90288,-33.02058
edenburg,25.93462,-29.73567
edenpark,28.12810,-26.37660
edenvale,28.14885,-26.14829
edenville,27.67408,-27.55535
eendekuil,18.88200,-32.68940
eersterust,28.31890,-25.70602
ekangala,28.74155,-25.69136
ekombe,30.89730,-28.64461
ekulindeni,31.01682,-26.04960
ekuvukeni,30.15365,-28.46180
elands bay,18.34069,-32.31333
elands height,28.22494,-30.80423
elandskraal,29.41198,-24.71591
elandslaagte,29.95880,-28.40129
eldorado park,27.90082,-26.29105
elliot,27.84998,-31.33022
elliotdale,28.68342,-31.96778
elsburg,28.19877,-26.24517
elsies river,18.56443,-33.92441
elukwatini,30.78716,-26.06088
emanguzi,32.74348,-26.99803
ematimatolo,30.82659,-29.14101
ematsheni,29.15550,-28.69808
embalenhle,29.07470,-26.54492
empangeni,31.88623,-28.74586
emzinoni,29.44593,-26.48456
ennerdale,27.83225,-26.40392
erasmia,28.09258,-25.81177
ermelo,29.98454,-26.52267
eshowe,31.45689,-28.90237
esikhaleni,31.90505,-28.87487
estcourt,29.87219,-29.00566
etwatwa,28.46420,-26.11999
evander,29.10759,-26.47065
evaton,27.85719,-26.54172
evatt,29.35065,-30.03691
excelsior,27.06109,-28.93820
ezakheni,29.92780,-28.59515
ezibayeni,32.06748,-27.99895
ezibeleni,26.95282,-31.90484
ezinqoleni,30.12799,-30.78476
fairland,27.93750,-26.14423
fauresmith,25.31122,-29.74649
fernie,30.77370,-26.41759
ficksburg,27.87397,-28.87051
fish hoek,18.43492,-34.13289
flagstaff,29.49472,-31.08187
florida,27.90510,-26.16930
floukraal,27.05484,-30.99623
fochville,27.49416,-26.48790
folweni,30.81185,-29.99068
fort beaufort,26.63555,-32.77701
fort brown,26.61773,-33.12978
fouriesburg,28.20841,-28.61588
franklin,29.45103,-30.31760
franschhoek,19.12143,-33.91220
fraserburg,21.51360,-31.91087
galeshewe,24.74277,-28.71051
gamalakhe,30.34167,-30.79986
gans bay,19.35139,-34.57818
ganyesa,24.18723,-26.59970
ga-rankuwa,27.99901,-25.59973
gariepdam,25.49178,-30.59130
garies,17.99024,-30.56504
garsfontein,28.28910,-25.78853
gelvandale,25.55030,-33.91055
genadendal,19.56280,-34.04481
george,22.46031,-33.95658
germiston,28.16174,-26.21722
gilead,28.65649,-23.48766
gingindlovu,31.58145,-29.02791
giyani,30.71573,-23.31353
glen,26.33199,-28.93999
glen grey,27.02120,-31.75751
glencoe,30.15452,-28.17932
glendale,31.11037,-29.32763
gluckstadt,31.03210,-27.97561
goedemoed,26.40335,-30.55924
gonubie,28.00084,-32.93660
goodwood,18.56195,-33.90888
gordons bay,18.86941,-34.15908
gowan lea,29.70266,-30.34742
graaff-reinet,24.53989,-32.25286
graafwater,18.60647,-32.15174
grabouw,19.01901,-34.15381
grahamstown,26.53445,-33.31163
graskop,30.83923,-24.93494
grassy park,18.49523,-34.04863
gravelotte,30.61256,-23.95146
greenwood park,31.02431,-29.78553
greylingstad,28.76545,-26.74201
greytown,30.59429,-29.05913
griekwastad,23.25104,-28.84759
groblersdal,29.38960,-25.16553
groblershoop,21.98261,-28.89311
groenvlei,30.23121,-27.46210
groot brakrivier,22.21906,-34.05469
groot marico,26.41868,-25.59968
groot-drakenstein,18.97776,-33.86616
grootvlei,28.50955,-26.79878
gugulethu,18.56331,-33.97497
haenertsburg,29.94050,-23.94073
hamburg,27.46711,-33.28897
hammanskraal,28.27506,-25.40479
hammarsdale,30.65611,-29.79570
hankey,24.88528,-33.83223
hanover,24.44393,-31.06641
harare,18.66930,-34.05193
harburg,30.73780,-29.41241
harding,29.88243,-30.57499
harrismith,29.12786,-28.26961
hartbeesfontein,26.42618,-26.75817
hartbeespoortdam,27.87159,-25.72447
hartebeeskop,30.93031,-26.18032
hartswater,24.80519,-27.75361
hattingspruit,30.12400,-28.07920
hazyview,31.12830,-25.04701
healdtown,26.64999,-32.74839
hebron,28.01714,-25.54938
heidedal,26.25019,-29.14242
heidelberg (gp),28.35413,-26.49652
heidelberg(c),20.95543,-34.08899
heilbron,27.96707,-27.28279
hekpoort,27.61817,-25.89610
helpmekaar,30.41937,-28.44667
henderson,27.33609,-32.31440
hendrina,29.71433,-26.16052
hennenman,27.02748,-27.97913
hercules,28.14880,-25.71914
hermanus,19.23623,-34.41859
hertzogville,25.50616,-28.13091
heuningspruit,27.42303,-27.44889
heuningvlei,23.17961,-26.29370
hibberdene,30.57051,-30.57774
highflats,30.19238,-30.25922
hillbrow,28.04464,-26.18823
hillcrest,30.76489,-29.78427
hilton-kzn,30.29617,-29.56531
himeville,29.51173,-29.75237
hlababomvu,29.36261,-31.26654
hlabisa,31.85714,-28.14037
hlanganani,30.29724,-23.30664
hlobane,31.00971,-27.73717
hlogotlou,29.73837,-25.02105
hluhluwe,32.26855,-28.02034
hobhouse,27.14284,-29.52845
hoedspruit,30.95114,-24.35383
hofmeyr,25.80221,-31.65593
hogsback,26.93696,-32.60057
hondeklip bay,17.27415,-30.32269
honeydew,27.92010,-26.07320
hoopdal,27.49232,-24.27923
hoopstad,25.90546,-27.83669
hopefield,18.34998,-33.06525
hopetown,24.08728,-29.61956
hout bay,18.35674,-34.03052
howick,30.22997,-29.48850
huhudi,24.74053,-26.96691
humansdorp,24.77275,-34.02798
humewood,25.62617,-33.97403
ibisi,29.88793,-30.40506
ida,27.55116,-31.40925
ikageng,27.06247,-26.72025
ikamvelihle,25.60843,-33.79741
ilinge,27.03843,-31.97622
impendle,29.86545,-29.60060
inanda,30.93351,-29.69680
inchanga,30.67873,-29.74268
indwe,27.33555,-31.47124
ingogo,29.91188,-27.57737
ingwavuma,31.99750,-27.13361
int airp king shaka,31.10425,-29.61844
int airport c town,18.59990,-33.97146
intsikeni,29.58809,-30.13768
inyibiba,27.69467,-32.95596
ipelegeng,25.30579,-27.19638
isipingo,30.92521,-29.98666
itsoseng,25.88043,-26.08725
ivory park,28.20162,-25.99001
ixopo,30.06021,-30.15480
jabulani,27.85830,-26.24820
jacobsdal,24.77064,-29.13018
jagersfontein,25.42291,-29.76054
jamestown,26.81023,-31.12050
jan kempdorp,24.83897,-27.91606
jane furse,29.85281,-24.76500
jansenville,24.66876,-32.94236
jeffreys bay,24.92192,-34.05530
jeppe,28.06046,-26.20225
jericho,27.81452,-25.34301
jhb central,28.03110,-26.20676
joubertina,23.85546,-33.82652
jouberton,26.58773,-26.89184
joza,26.57081,-33.28478
jozini,32.06406,-27.42715
kaapmuiden,31.34071,-25.53614
kabega park,25.49849,-33.93989
kabokweni,31.12938,-25.34439
kagisanong,26.23517,-29.18293
kagisho,24.71971,-28.71140
kagiso,27.78162,-26.16425
kakamas,20.61854,-28.77074
kameeldrift,28.30718,-25.65062
kamesh,25.38562,-33.75313
kamhlushwa,31.67576,-25.65542
kamieskroon,17.93159,-30.21307
kanana,26.64038,-26.95975
kanoneiland,21.08695,-28.65236
kanyamazane,31.18394,-25.46503
kareedouw,24.29433,-33.95386
kathu,23.04492,-27.69892
katkop,28.51182,-30.88541
katlehong,28.15710,-26.36190
katlehong north,28.15677,-26.31470
kei bridge,27.97953,-32.50557
kei mouth,28.37477,-32.67880
kei road,27.54653,-32.70575
keimoes,20.97055,-28.70806
keiskammahoek,27.14546,-32.68017
kempton park,28.23211,-26.10141
kenhardt,21.15192,-29.34660
kensington,18.51064,-33.90953
kenton on sea,26.66674,-33.68053
kestell,28.70516,-28.31452
kgomotso,24.61279,-27.98218
khayelitsha,18.66599,-34.02464
khubusidrift,27.61970,-32.56809
khuma,26.84686,-26.85147
khutsong,27.33051,-26.34301
kidds beach,27.69525,-33.14929
kimberley,24.76320,-28.73487
king william's town,27.39139,-32.87139
kingsley,30.53045,-27.93065
kinkelbos,25.87827,-33.64669
kinross,29.08508,-26.41540
kirkwood,25.44409,-33.39892
kirstenhof,18.45524,-34.07219
klapmuts,18.86272,-33.80679
klawer,18.62512,-31.77222
kleinbulhoek,26.57500,-32.16655
kleinmond,19.03232,-34.33963
kleinsee,17.07984,-29.66193
kleinvlei,18.71879,-33.98820
klerksdorp,26.66311,-26.86353
klerkskraal,27.16339,-26.25175
klipgat,27.98434,-25.47304
klipplaat,24.33284,-33.02179
kliprivier,28.08452,-26.42027
kliptown,27.88838,-26.28229
knysna,23.05145,-34.03629
koffiefontein,25.00308,-29.40948
kokstad,29.42536,-30.55093
kolomane,26.78883,-32.42247
komaggas,17.48749,-29.79486
komatipoort,31.95774,-25.43620
komga,27.89203,-32.57532
kommissiepoort,27.28657,-29.32488
kopanong,26.25326,-29.18644
koppies,27.57533,-27.24265
koster,26.89748,-25.86502
kraaifontein,18.72730,-33.85700
kranskop,30.86405,-28.96604
kriel,29.26061,-26.25064
kroonstad,27.23468,-27.66893
krugersdorp,27.76600,-26.09940
kuilsrivier,18.68250,-33.93231
kuruman,23.43229,-27.45901
kuyasa,25.10707,-30.71908
kwa thema,28.39438,-26.27889
kwaaiman,28.97806,-31.91920
kwadabeka,30.89295,-29.77619
kwadukuza,31.28430,-29.34719
kwadwesi,25.52347,-33.84109
kwaggafontein,28.94768,-25.30942
kwamakhutha,30.86804,-30.02530
kwamashu e,31.00027,-29.73592
kwambonambi,32.08590,-28.59880
kwamhlanga,28.71577,-25.43404
kwamsane,32.14790,-28.42857
kwandengane,29.75814,-31.05498
kwandengezi,30.76895,-29.85093
kwanobuhle,25.39782,-33.81395
kwanokuthula,23.32062,-34.05359
kwanonqaba,22.09112,-34.17612
kwazakele,25.58308,-33.87626
laaiplek,18.15646,-32.77115
ladismith,21.26830,-33.49487
lady frere,27.23649,-31.70148
lady grey,27.20923,-30.71202
ladybrand,27.45680,-29.19591
ladysmith,29.77862,-28.56124
laersdrift,29.85622,-25.36766
laingsburg,20.85937,-33.19758
lambertsbaai,18.30541,-32.09251
lamontville,30.93923,-29.94046
langa,18.52647,-33.94453
langebaan,18.03349,-33.09287
langlaagte,27.98447,-26.20815
lansdowne,18.50523,-33.99054
laudium,28.09789,-25.78555
leboeng,30.64776,-24.50900
lebowakgomo,29.48187,-24.32098
leeu gamka,21.97303,-32.77896
leeudoringstad,26.24131,-27.23507
lehurutshe,25.98517,-25.48780
lenasia,27.82496,-26.32228
lenasia south,27.85891,-26.39441
lentegeur,18.61070,-34.03613
lephalale,27.73479,-23.67856
leslie,28.92186,-26.36964
lethabong,27.50895,-25.43625
letlhabile,27.83781,-25.49501
letsitele,30.39214,-23.89402
levubu,30.27540,-23.09234
libode,29.01552,-31.53967
lichtenburg,26.15889,-26.15137
lime acres,23.52467,-28.35892
linden,27.99370,-26.11922
lindley,27.92071,-27.88343
lingelethu-west,18.66004,-34.04298
loate,28.07368,-25.49510
loeriesfontein,19.44893,-30.95563
lomanyaneng,25.65939,-25.89490
lothair,30.44033,-26.39072
louwsburg,31.28124,-27.58069
low's creek,31.29337,-25.64453
loxton,22.34998,-31.47720
luckhoff,24.78995,-29.75150
lukholweni,28.85494,-30.64249
lulekani,31.08104,-23.86649
lusikisiki,29.57499,-31.36889
lutzville,18.34501,-31.55902
lwandle,18.86718,-34.11561
lydenburg,30.45298,-25.09640
lyttelton,28.19868,-25.83904
maake,30.27092,-23.97310
maartenshoop,30.23400,-24.99079
mabopane,28.05750,-25.51100
macassar,18.76276,-34.06112
machadodorp,30.25328,-25.66843
macleantown,27.74466,-32.78686
maclear,28.34897,-31.06708
madadeni,30.02664,-27.76200
